GSM,Description,Organism,Tissue/Cell,GSE,State ID,Characteristics,Age,GPL,,,,,
GSM1696301,elt-2_OE_Day13_D,Caenorhabditis elegans,whole worm,GSE69263,4,strain: SD1963; tissue: whole worm,13 DAYS,GPL13657,,,,,
GSM1696302,elt-2_OE_Day13_E,Caenorhabditis elegans,whole worm,GSE69263,4,strain: SD1963; tissue: whole worm,13 DAYS,GPL13657,,,,,
GSM1696271,Control_L1_A,Caenorhabditis elegans,whole worm,GSE69261,1,strain: N2; tissue: whole worm,L1,GPL13657,,,,,
GSM1696272,Control_L1_B,Caenorhabditis elegans,whole worm,GSE69261,1,strain: N2; tissue: whole worm,L1,GPL13657,,,,,
GSM1696273,Control_L1_C,Caenorhabditis elegans,whole worm,GSE69261,1,strain: N2; tissue: whole worm,L1,GPL13657,,,,,
GSM1696274,elt-2 RNAi_L1_A,Caenorhabditis elegans,whole worm,GSE69261,2,strain: N2; tissue: whole worm,L1,GPL13657,,,,,
GSM1696275,elt-2 RNAi_L1_B,Caenorhabditis elegans,whole worm,GSE69261,2,strain: N2; tissue: whole worm,L1,GPL13657,,,,,
GSM1696276,elt-2 RNAi_L1_C,Caenorhabditis elegans,whole worm,GSE69261,2,strain: N2; tissue: whole worm,L1,GPL13657,,,,,
GSM1696277,Control_L4_A,Caenorhabditis elegans,whole worm,GSE69262,1,strain: N2; tissue: whole worm,L4,GPL13657,,,,,
GSM1696278,Control_L4_B,Caenorhabditis elegans,whole worm,GSE69262,1,strain: N2; tissue: whole worm,L4,GPL13657,,,,,
GSM1696279,Control_L4_C,Caenorhabditis elegans,whole worm,GSE69262,1,strain: N2; tissue: whole worm,L4,GPL13657,,,,,
GSM1696280,elt-2 RNAi_L4_A,Caenorhabditis elegans,whole worm,GSE69262,2,strain: N2; tissue: whole worm,L4,GPL13657,,,,,
GSM1696281,elt-2 RNAi_L4_B,Caenorhabditis elegans,whole worm,GSE69262,2,strain: N2; tissue: whole worm,L4,GPL13657,,,,,
GSM1696282,elt-2 RNAi_L4_C,Caenorhabditis elegans,whole worm,GSE69262,2,strain: N2; tissue: whole worm,L4,GPL13657,,,,,
GSM879792,Endogenous mRNA from N2 var. Bristol (wildtype) 1,Caenorhabditis elegans,whole animal,GSE36041,1,genetic background: N2 var. Bristol; genotype: wild type; tissue: whole animal; developmental stage: adult (5 days after L4),ADULT (5 DAYS AFTER L4),GPL13657,,,,,
GSM879793,Endogenous mRNA from daf-2(e1370) mutant 1,Caenorhabditis elegans,whole animal,GSE36041,2,genetic background: N2 var. Bristol; genotype: daf-2(e1370); tissue: whole animal; developmental stage: adult (5 days after L4),ADULT (5 DAYS AFTER L4),GPL13776,,,,,
GSM879794,Endogenous mRNA from N2 var. Bristol (wildtype) 2,Caenorhabditis elegans,whole animal,GSE36041,1,genetic background: N2 var. Bristol; genotype: wild type; tissue: whole animal; developmental stage: adult (5 days after L4),ADULT (5 DAYS AFTER L4),GPL13776,,,,,
GSM879795,Endogenous mRNA from daf-2(e1370) mutant 2,Caenorhabditis elegans,whole animal,GSE36041,2,genetic background: N2 var. Bristol; genotype: daf-2(e1370); tissue: whole animal; developmental stage: adult (5 days after L4),ADULT (5 DAYS AFTER L4),GPL13776,,,,,
GSM879796,Endogenous mRNA from N2 var. Bristol (wildtype) 3,Caenorhabditis elegans,whole animal,GSE36041,1,genetic background: N2 var. Bristol; genotype: wild type; tissue: whole animal; developmental stage: adult (5 days after L4),ADULT (5 DAYS AFTER L4),GPL13776,,,,,
GSM879797,Endogenous mRNA from daf-2(e1370) mutant 3,Caenorhabditis elegans,whole animal,GSE36041,2,genetic background: N2 var. Bristol; genotype: daf-2(e1370); tissue: whole animal; developmental stage: adult (5 days after L4),ADULT (5 DAYS AFTER L4),GPL13776,,,,,
GSM879798,Endogenous mRNA from MEF wildtype cells 1,Mus musculus,murine embryonic fibroblasts (MEF),GSE36041,3,genetic background: C57BL/6; genotype: wild type; cell type: murine embryonic fibroblasts (MEF); passage: 87,87,GPL13776,,,,,
GSM879799,Endogenous mRNA from MEF irs1-/- knockout cells 1,Mus musculus,murine embryonic fibroblasts (MEF),GSE36041,4,genetic background: C57BL/6; genotype: irs1 KO; cell type: murine embryonic fibroblasts (MEF); passage: 87,87,GPL11002,,,,,
GSM879800,Endogenous mRNA from MEF wildtype cells 2,Mus musculus,murine embryonic fibroblasts (MEF),GSE36041,3,genetic background: C57BL/6; genotype: wild type; cell type: murine embryonic fibroblasts (MEF); passage: 89,89,GPL11002,,,,,
GSM879801,Endogenous mRNA from MEF irs1-/- knockout cells 2,Mus musculus,murine embryonic fibroblasts (MEF),GSE36041,4,genetic background: C57BL/6; genotype: irs1 KO; cell type: murine embryonic fibroblasts (MEF); passage: 89,89,GPL11002,,,,,
GSM879802,Endogenous mRNA from MEF insr+/- -lox cells 1,Mus musculus,murine embryonic fibroblasts (MEF),GSE36041,5,genetic background: C57BL/6; genotype: wild type; cell type: murine embryonic fibroblasts (MEF); passage: 91,91,GPL11002,,,,,
GSM879803,Endogenous mRNA from MEF insr+/- knockout cells 1,Mus musculus,murine embryonic fibroblasts (MEF),GSE36041,6,genetic background: C57BL/6; genotype: insr+/-; cell type: murine embryonic fibroblasts (MEF); passage: 91,91,GPL11002,,,,,
GSM879804,Endogenous mRNA from MEF insr+/- -lox cells 2,Mus musculus,murine embryonic fibroblasts (MEF),GSE36041,5,genetic background: C57BL/6; genotype: wild type; cell type: murine embryonic fibroblasts (MEF); passage: 93,93,GPL11002,,,,,
GSM879805,Endogenous mRNA from MEF insr+/- knockout cells 2,Mus musculus,murine embryonic fibroblasts (MEF),GSE36041,6,genetic background: C57BL/6; genotype: insr+/-; cell type: murine embryonic fibroblasts (MEF); passage: 93,93,GPL11002,,,,,
GSM804340,Control 1,Homo sapiens,EBV transformed B-cell,GSE32493,1,cell type: EBV transformed B-cell; age: average is 63 y (young control); ethnicity: Ashkenazi Jew; subject: LG879,AVERAGE IS 63 Y (YOUNG CONTROL),GPL11002,,,,,
GSM804341,Control 2,Homo sapiens,EBV transformed B-cell,GSE32493,1,cell type: EBV transformed B-cell; age: average is 63 y (young control); ethnicity: Ashkenazi Jew; subject: LG3632,AVERAGE IS 63 Y (YOUNG CONTROL),GPL9115,,,,,
GSM804342,Control 3,Homo sapiens,EBV transformed B-cell,GSE32493,1,cell type: EBV transformed B-cell; age: average is 63 y (young control); ethnicity: Ashkenazi Jew; subject: LG1654,AVERAGE IS 63 Y (YOUNG CONTROL),GPL9115,,,,,
GSM804343,Centenarian 1,Homo sapiens,EBV transformed B-cell,GSE32493,2,cell type: EBV transformed B-cell; age: average is 104 y (centenarian); ethnicity: Ashkenazi Jew; subject: LG1041,AVERAGE IS 104 Y (CENTENARIAN),GPL9115,,,,,
GSM804344,Centenarian 2,Homo sapiens,EBV transformed B-cell,GSE32493,2,cell type: EBV transformed B-cell; age: average is 104 y (centenarian); ethnicity: Ashkenazi Jew; subject: LG4797,AVERAGE IS 104 Y (CENTENARIAN),GPL9115,,,,,
GSM804345,Centenarian 3,Homo sapiens,EBV transformed B-cell,GSE32493,2,cell type: EBV transformed B-cell; age: average is 104 y (centenarian); ethnicity: Ashkenazi Jew; subject: LG6503,AVERAGE IS 104 Y (CENTENARIAN),GPL9115,,,,,
GSM284967,heart-5 months of age-control diet-biological replicate1,Mus musculus,heart,GSE11291,1,B6C3F1 male,5 MONTHS,GPL9115,,,,,
GSM284968,heart-5 months of age-control diet-biological replicate2,Mus musculus,heart,GSE11291,1,B6C3F1 male,5 MONTHS,GPL1261,,,,,
GSM284969,heart-5 months of age-control diet-biological replicate3,Mus musculus,heart,GSE11291,1,B6C3F1 male,5 MONTHS,GPL1261,,,,,
GSM284970,heart-5 months of age-control diet-biological replicate4,Mus musculus,heart,GSE11291,1,B6C3F1 male,5 MONTHS,GPL1261,,,,,
GSM284971,heart-5 months of age-control diet-biological replicate5,Mus musculus,heart,GSE11291,1,B6C3F1 male,5 MONTHS,GPL1261,,,,,
GSM284972,heart-30 months of age-control diet-biological replicate1,Mus musculus,heart,GSE11291,2,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284973,heart-30 months of age-control diet-biological replicate2,Mus musculus,heart,GSE11291,2,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284974,heart-30 months of age-control diet-biological replicate3,Mus musculus,heart,GSE11291,2,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284975,heart-30 months of age-control diet-biological replicate4,Mus musculus,heart,GSE11291,2,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284976,heart-30 months of age-control diet-biological replicate5,Mus musculus,heart,GSE11291,2,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284977,heart-30 months of age-CR diet-biological replicate1,Mus musculus,heart,GSE11291,3,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284978,heart-30 months of age-CR diet-biological replicate2,Mus musculus,heart,GSE11291,3,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284979,heart-30 months of age-CR diet-biological replicate3,Mus musculus,heart,GSE11291,3,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284980,heart-30 months of age-CR diet-biological replicate4,Mus musculus,heart,GSE11291,3,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284981,heart-30 months of age-CR diet-biological replicate5,Mus musculus,heart,GSE11291,3,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284982,heart-30 months of age-resveratrol diet-biological replicate1,Mus musculus,heart,GSE11291,4,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284983,heart-30 months of age-resveratrol diet-biological replicate2,Mus musculus,heart,GSE11291,4,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284984,heart-30 months of age-resveratrol diet-biological replicate3,Mus musculus,heart,GSE11291,4,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284985,heart-30 months of age-resveratrol diet-biological replicate4,Mus musculus,heart,GSE11291,4,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284986,"heart-30 months of age, resveratrol diet-biological replicate5",Mus musculus,heart,GSE11291,4,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284987,gastrocnemius-5 months of age-control diet-biological replicate1,Mus musculus,gastrocnemius,GSE11291,5,B6C3F1 male,5 MONTHS,GPL1261,,,,,
GSM284988,gastrocnemius-5 months of age-control diet-biological replicate2,Mus musculus,gastrocnemius,GSE11291,5,B6C3F1 male,5 MONTHS,GPL1261,,,,,
GSM284989,gastrocnemius-5 months of age-control diet-biological replicate3,Mus musculus,gastrocnemius,GSE11291,5,B6C3F1 male,5 MONTHS,GPL1261,,,,,
GSM284990,gastrocnemius-5 months of age-control diet-biological replicate4,Mus musculus,gastrocnemius,GSE11291,5,B6C3F1 male,5 MONTHS,GPL1261,,,,,
GSM284991,gastrocnemius-5 months of age-control diet-biological replicate5,Mus musculus,gastrocnemius,GSE11291,5,B6C3F1 male,5 MONTHS,GPL1261,,,,,
GSM284992,gastrocnemius-30 months of age-control diet-biological replicate1,Mus musculus,gastrocnemius,GSE11291,6,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284993,gastrocnemius-30 months of age-control diet-biological replicate2,Mus musculus,gastrocnemius,GSE11291,6,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284994,gastrocnemius-30 months of age-control diet-biological replicate3,Mus musculus,gastrocnemius,GSE11291,6,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284995,gastrocnemius-30 months of age-control diet-biological replicate4,Mus musculus,gastrocnemius,GSE11291,6,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284996,gastrocnemius-30 months of age-control diet-biological replicate5,Mus musculus,gastrocnemius,GSE11291,6,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284997,gastrocnemius-30 months of age-CR diet-biological replicate1,Mus musculus,gastrocnemius,GSE11291,7,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284998,gastrocnemius-30 months of age-CR diet-biological replicate2,Mus musculus,gastrocnemius,GSE11291,7,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM284999,gastrocnemius-30 months of age-CR diet-biological replicate3,Mus musculus,gastrocnemius,GSE11291,7,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285000,gastrocnemius-30 months of age-CR diet-biological replicate4,Mus musculus,gastrocnemius,GSE11291,7,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285001,gastrocnemius-30 months of age-CR diet-biological replicate5,Mus musculus,gastrocnemius,GSE11291,7,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285002,gastrocnemius-30 months of age-resveratrol diet-biological replicate1,Mus musculus,gastrocnemius,GSE11291,8,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285003,gastrocnemius-30 months of age-resveratrol diet-biological replicate2,Mus musculus,gastrocnemius,GSE11291,8,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285004,gastrocnemius-30 months of age-resveratrol diet-biological replicate3,Mus musculus,gastrocnemius,GSE11291,8,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285005,gastrocnemius-30 months of age-resveratrol diet-biological replicate4,Mus musculus,gastrocnemius,GSE11291,8,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285006,"gastrocnemius-30 months of age, resveratrol diet-biological replicate5",Mus musculus,gastrocnemius,GSE11291,8,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285007,neocortex-5 months of age-control diet-biological replicate1,Mus musculus,neocortex,GSE11291,9,B6C3F1 male,5 MONTHS,GPL1261,,,,,
GSM285008,neocortex-5 months of age-control diet-biological replicate2,Mus musculus,neocortex,GSE11291,9,B6C3F1 male,5 MONTHS,GPL1261,,,,,
GSM285009,neocortex-5 months of age-control diet-biological replicate3,Mus musculus,neocortex,GSE11291,9,B6C3F1 male,5 MONTHS,GPL1261,,,,,
GSM285010,neocortex-5 months of age-control diet-biological replicate4,Mus musculus,neocortex,GSE11291,9,B6C3F1 male,5 MONTHS,GPL1261,,,,,
GSM285011,neocortex-5 months of age-control diet-biological replicate5,Mus musculus,neocortex,GSE11291,9,B6C3F1 male,5 MONTHS,GPL1261,,,,,
GSM285012,neocortex-30 months of age-control diet-biological replicate1,Mus musculus,neocortex,GSE11291,10,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285013,neocortex-30 months of age-control diet-biological replicate2,Mus musculus,neocortex,GSE11291,10,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285014,neocortex-30 months of age-control diet-biological replicate3,Mus musculus,neocortex,GSE11291,10,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285015,neocortex-30 months of age-control diet-biological replicate4,Mus musculus,neocortex,GSE11291,10,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285016,neocortex-30 months of age-control diet-biological replicate5,Mus musculus,neocortex,GSE11291,10,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285017,neocortex-30 months of age-CR diet-biological replicate1,Mus musculus,neocortex,GSE11291,11,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285018,neocortex-30 months of age-CR diet-biological replicate2,Mus musculus,neocortex,GSE11291,11,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285019,neocortex-30 months of age-CR diet-biological replicate3,Mus musculus,neocortex,GSE11291,11,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285020,neocortex-30 months of age-CR diet-biological replicate4,Mus musculus,neocortex,GSE11291,11,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285021,neocortex-30 months of age-CR diet-biological replicate5,Mus musculus,neocortex,GSE11291,11,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285022,neocortex-30 months of age-resveratrol diet-biological replicate1,Mus musculus,neocortex,GSE11291,12,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285023,neocortex-30 months of age-resveratrol diet-biological replicate2,Mus musculus,neocortex,GSE11291,12,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285024,neocortex-30 months of age-resveratrol diet-biological replicate3,Mus musculus,neocortex,GSE11291,12,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285025,neocortex-30 months of age-resveratrol diet-biological replicate4,Mus musculus,neocortex,GSE11291,12,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM285026,"neocortex-30 months of age, resveratrol diet-biological replicate5",Mus musculus,neocortex,GSE11291,12,B6C3F1 male,30 MONTHS,GPL1261,,,,,
GSM181829,ovary AL 1 month (AMC196)(251279910189),Mus musculus,ovary,GSE7502,1,ovary; Strain: C57BL/6; Gender: female; Age: 17 days; Development stage: adult; Genetic modification: the animal was ad Libitum; Individual Identifier: AMC196,1 MONTH,GPL1261,,,,,
GSM181830,ovary CR 24 month (AMC1)(251279910190),Mus musculus,ovary,GSE7502,2,ovary; Strain: C57BL/6; Gender: female; Age: 2 years; Development stage: adult; Genetic modification: the animal was in Caloric Restriction; Individual Identifier: AMC1,24 MONTH,GPL2552,,,,,
GSM181831,ovary CR 6 month (AMC34)(251279910191),Mus musculus,ovary,GSE7502,3,ovary; Strain: C57BL/6; Gender: female; Age: 6 month; Development stage: adult; Genetic modification: the animal was in Caloric Restriction; Individual Identifier: AMC34,6 MONTH,GPL2552,,,,,
GSM181832,ovary AL 6 month (AMC52)(251279910192),Mus musculus,ovary,GSE7502,4,ovary; Strain: C57BL/6; Gender: female; Age: 6 moth; Development stage: adult; Genetic modification: the animal ad Libitum; Individual Identifier: AMC52,6 MONTH,GPL2552,,,,,
GSM181833,ovary CR 16 month (AMC27)(251279910193),Mus musculus,ovary,GSE7502,5,ovary; Strain: C57BL/6; Gender: female; Age: 16 months; Development stage: adult; Genetic modification: the animal was in Caloric Restriction; Individual Identifier: AMC27,16 MONTH,GPL2552,,,,,
GSM181834,ovary AL 16 month (AMC48)(251279910194),Mus musculus,ovary,GSE7502,6,ovary; Strain: C57BL/6; Gender: female; Age: 16 months; Development stage: adult; Genetic modification: the animal was Ad Libitum; Individual Identifier: AMC48,16 MONTH,GPL2552,,,,,
GSM181835,ovary AL 24 month (AMC167)(251279910195),Mus musculus,ovary,GSE7502,7,ovary; Strain: C57BL/6; Gender: female; Age: 2 years; Development stage: adult; Genetic modification: the animal was Ad Libitum; Individual Identifier: AMC167,24 MONTH,GPL2552,,,,,
GSM181836,ovary AL 1 month (AMC244)(251279910196),Mus musculus,ovary,GSE7502,1,ovary; Strain: C57BL/6; Gender: female; Age: 1 month; Development stage: adult; Genetic modification: the animal was Ad Libitum; Individual Identifier: AMC244,1 MONTH,GPL2552,,,,,
GSM181837,testis AL 1 month (AMC239)(251411710015),Mus musculus,testis,GSE7502,8,testis; Strain: C57BL/6; Gender: male; Age: 1 month; Development stage: adult; Genetic modification: the animal was Ad Libitum; Individual Identifier: AMC239,1 MONTH,GPL2552,,,,,
GSM181838,testis AL 1 month (AMC186)(251411710016),Mus musculus,testis,GSE7502,8,testis; Strain: C57BL/6; Gender: male; Age: 1 month; Development stage: adult; Genetic modification: the animal was Ad Libitum; Individual Identifier: AMC186,1 MONTH,GPL4358,,,,,
GSM181839,testis AL 6 month (AMC135)(251411710017),Mus musculus,testis,GSE7502,9,testis; Strain: C57BL/6; Gender: male; Age: 6 months; Development stage: adult; Genetic modification: the animal was Ad Libitum; Individual Identifier: AMC135,6 MONTH,GPL4358,,,,,
GSM181840,testis AL 6 month (AMC133)(251411710018),Mus musculus,testis,GSE7502,9,testis; Strain: C57BL/6; Gender: male; Age: 6 months; Development stage: adult; Genetic modification: the animal was Ad Libitum; Individual Identifier: AMC133,6 MONTH,GPL4358,,,,,
GSM181841,testis AL 16 month (AMC80)(251411710019),Mus musculus,testis,GSE7502,10,testis; Strain: C57BL/6; Gender: male; Age: 16 months; Development stage: adult; Genetic modification: the animal was Ad Libitum; Individual Identifier: AMC80,16 MONTH,GPL4358,,,,,
GSM181842,testis AL 16 month (AMC125)(251411710020),Mus musculus,testis,GSE7502,10,testis; Strain: C57BL/6; Gender: male; Age: 16 months; Development stage: adult; Genetic modification: the animal was Ad Libitum; Individual Identifier: AMC125,16 MONTH,GPL4358,,,,,
GSM181843,testis AL 24 month (AMC119)(251411710021),Mus musculus,testis,GSE7502,11,testis; Strain: C57BL/6; Gender: male; Age: 24 months; Development stage: adult; Genetic modification: the animal was Ad Libitum; Individual Identifier: AMC119,24 MONTH,GPL4358,,,,,
GSM181844,testis AL 24 month (AMC163)(251411710022),Mus musculus,testis,GSE7502,11,testis; Strain: C57BL/6; Gender: male; Age: 24 months; Development stage: adult; Genetic modification: the animal was Ad Libitum; Individual Identifier: AMC163,24 MONTH,GPL4358,,,,,
GSM181845,testis CR 6 month (AMC217)(251411710023),Mus musculus,testis,GSE7502,12,testis; Strain: C57BL/6; Gender: male; Age: 6 months; Development stage: adult; Genetic modification: the animal was in Caloric Restriction; Individual Identifier: AMC217,6 MONTH,GPL4358,,,,,
GSM181846,testis CR 6 month (AMC7)(251411710025),Mus musculus,testis,GSE7502,12,testis; Strain: C57BL/6; Gender: male; Age: 6 months; Development stage: adult; Genetic modification: the animal was in Caloric Restriction; Individual Identifier: AMC7,6 MONTH,GPL4358,,,,,
GSM181847,testis CR 16 month (AMC58)(251411710026),Mus musculus,testis,GSE7502,13,testis; Strain: C57BL/6; Gender: male; Age: 16 months; Development stage: adult; Genetic modification: the animal was in Caloric Restriction; Individual Identifier: AMC58,16 MONTH,GPL4358,,,,,
GSM181848,testis CR 16 month (AMC57)(251411710027),Mus musculus,testis,GSE7502,13,testis; Strain: C57BL/6; Gender: male; Age: 16 months; Development stage: adult; Genetic modification: the animal was in Caloric Restriction; Individual Identifier: AMC57,16 MONTH,GPL4358,,,,,
GSM181849,testis CR 24 month (AMC207)(251411710028),Mus musculus,testis,GSE7502,14,testis; Strain: C57BL/6; Gender: male; Age: 22 months; Development stage: adult; Genetic modification: the animal was in Caloric Restriction; Individual Identifier: AMC207,24 MONTH,GPL4358,,,,,
GSM181850,testis CR 24 month (AMC208)(251411710029),Mus musculus,testis,GSE7502,14,testis; Strain: C57BL/6; Gender: male; Age: 22 months; Development stage: adult; Genetic modification: the animal was in Caloric Restriction; Individual Identifier: AMC208,24 MONTH,GPL4358,,,,,
GSM181851,ovary AL 6 month (AMC137)(251411710031),Mus musculus,ovary,GSE7502,4,ovary; Strain: C57BL/6; Gender: female; Age: 6 month; Development stage: adult; Genetic modification: the animal was Ad Libitum; Individual Identifier: AMC137,6 MONTH,GPL4358,,,,,
GSM181852,ovary CR 16 month (AMC152)(251411710032),Mus musculus,ovary,GSE7502,5,ovary; Strain: C57BL/6; Gender: female; Age: 16 month; Development stage: adult; Genetic modification: the animal was in Caloric Restriction; Individual Identifier: AMC152,16 MONTH,GPL4358,,,,,
GSM181853,ovary CR 24 month (AMC25)(251411710033),Mus musculus,ovary,GSE7502,2,ovary; Strain: C57BL/6; Gender: female; Age: 24 months; Development stage: adult; Genetic modification: the animal was in Caloric Restriction; Individual Identifier: AMC25,24 MONTH,GPL4358,,,,,
GSM181854,ovary AL 16 month (AMC131)(251411710034),Mus musculus,ovary,GSE7502,6,ovary; Strain: C57BL/6; Gender: female; Age: 15 months; Development stage: adult; Genetic modification: the animal was Ad Libitum; Individual Identifier: AMC131,16 MONTH,GPL4358,,,,,
GSM181855,ovary AL 24 month (AMC174)(251411710035),Mus musculus,ovary,GSE7502,7,ovary; Strain: C57BL/6; Gender: female; Age: 23 months; Development stage: adult; Genetic modification: the animal was Ad Libitum; Individual Identifier: AMC174,24 MONTH,GPL4358,,,,,
GSM181856,ovary CR 6 month (AMC113)(251411710036),Mus musculus,ovary,GSE7502,3,ovary; Strain: C57BL/6; Gender: female; Age: 6 months; Development stage: adult; Genetic modification: the animal was in Caloric Restriction; Individual Identifier: AMC113,6 MONTH,GPL4358,,,,,
GSM146340,"Gastrocnemius tissue at time 0 from young mouse, biological rep1",Mus musculus,gastrocnemius,GSE6323,1,Age: 5 month-old; Diet: normal,5 MONTH-OLD,GPL4358,,,,,
GSM146341,"Gastrocnemius tissue at time 0 from young mouse, biological rep2",Mus musculus,gastrocnemius,GSE6323,1,Age: 5 month-old; Diet: normal,5 MONTH-OLD,GPL339,,,,,
GSM146342,"Gastrocnemius tissue at time 0 from young mouse, biological rep3",Mus musculus,gastrocnemius,GSE6323,1,Age: 5 month-old; Diet: normal,5 MONTH-OLD,GPL339,,,,,
GSM146343,"Gastrocnemius tissue at time 0 from young mouse, biological rep4",Mus musculus,gastrocnemius,GSE6323,1,Age: 5 month-old; Diet: normal,5 MONTH-OLD,GPL339,,,,,
GSM146344,"Gastrocnemius tissue at time 0 from young mouse, biological rep5",Mus musculus,gastrocnemius,GSE6323,1,Age: 5 month-old; Diet: normal,5 MONTH-OLD,GPL339,,,,,
